time,open,high,low,close,Volume
2021-12-06T10:30:00+08:00,2774,2799,2746,2753,6302
2021-12-06T11:00:00+08:00,2753,2754,2733,2737,2085
2021-12-06T11:30:00+08:00,2737,2740,2727,2734,1067
2021-12-06T12:00:00+08:00,2733,2744,2723,2739,1151
2021-12-06T14:30:00+08:00,2739,2753,2729,2738,1631
2021-12-06T15:00:00+08:00,2738,2738,2709,2709,1565
2021-12-06T15:30:00+08:00,2710,2749,2703,2744,2246
2021-12-06T16:00:00+08:00,2745,2764,2738,2752,1437
2021-12-06T16:30:00+08:00,2753,2753,2720,2724,1022
2021-12-06T17:00:00+08:00,2723,2741,2721,2729,1288
2021-12-06T17:30:00+08:00,2730,2731,2707,2720,2683
2021-12-06T21:00:00+08:00,2719,2746,2719,2744,349
2021-12-06T21:30:00+08:00,2744,2752,2738,2747,371
2021-12-06T22:00:00+08:00,2747,2748,2739,2743,96
2021-12-06T22:30:00+08:00,2743,2749,2724,2732,263
2021-12-06T23:00:00+08:00,2732,2749,2725,2749,147
2021-12-07T10:30:00+08:00,2759,2803,2752,2783,3718
2021-12-07T11:00:00+08:00,2783,2833,2781,2827,3446
2021-12-07T11:30:00+08:00,2827,2865,2821,2850,2084
2021-12-07T12:00:00+08:00,2851,2876,2849,2865,1749
2021-12-07T14:30:00+08:00,2847,2875,2835,2857,3071
2021-12-07T15:00:00+08:00,2858,2872,2853,2867,1010
2021-12-07T15:30:00+08:00,2867,2882,2862,2869,1393
2021-12-07T16:00:00+08:00,2868,2884,2866,2866,1004
2021-12-07T16:30:00+08:00,2866,2887,2862,2879,986
2021-12-07T17:00:00+08:00,2879,2880,2855,2876,1716
2021-12-07T17:30:00+08:00,2876,2904,2874,2900,2684
2021-12-07T21:00:00+08:00,2908,2909,2890,2892,329
2021-12-07T21:30:00+08:00,2891,2902,2888,2900,154
2021-12-07T22:00:00+08:00,2898,2907,2896,2902,69
2021-12-07T22:30:00+08:00,2904,2918,2894,2909,447
2021-12-07T23:00:00+08:00,2909,2913,2897,2905,211
2021-12-08T10:30:00+08:00,2844,2868,2833,2838,4402
2021-12-08T11:00:00+08:00,2837,2851,2828,2845,1798
2021-12-08T11:30:00+08:00,2845,2857,2838,2842,789
2021-12-08T12:00:00+08:00,2843,2846,2830,2833,839
2021-12-08T14:30:00+08:00,2801,2807,2766,2785,3732
2021-12-08T15:00:00+08:00,2784,2789,2761,2789,1796
2021-12-08T15:30:00+08:00,2788,2816,2780,2811,1566
2021-12-08T16:00:00+08:00,2809,2836,2807,2830,1516
2021-12-08T16:30:00+08:00,2831,2831,2807,2821,1074
2021-12-08T17:00:00+08:00,2821,2846,2814,2817,1207
2021-12-08T17:30:00+08:00,2816,2818,2799,2816,2114
2021-12-08T21:00:00+08:00,2809,2809,2779,2791,319
2021-12-08T21:30:00+08:00,2791,2798,2784,2797,116
2021-12-08T22:00:00+08:00,2796,2797,2789,2797,90
2021-12-08T22:30:00+08:00,2797,2799,2771,2782,530
2021-12-08T23:00:00+08:00,2785,2808,2785,2804,228
2021-12-09T10:30:00+08:00,2820,2878,2809,2869,3186
2021-12-09T11:00:00+08:00,2869,2873,2847,2864,2252
2021-12-09T11:30:00+08:00,2864,2870,2856,2857,584
2021-12-09T12:00:00+08:00,2858,2885,2851,2851,1144
2021-12-09T14:30:00+08:00,2795,2819,2789,2800,3465
2021-12-09T15:00:00+08:00,2801,2801,2773,2778,1695
2021-12-09T15:30:00+08:00,2778,2799,2762,2767,2087
2021-12-09T16:00:00+08:00,2767,2776,2741,2758,2465
2021-12-09T16:30:00+08:00,2758,2771,2733,2745,1597
2021-12-09T17:00:00+08:00,2745,2753,2740,2743,1065
2021-12-09T17:30:00+08:00,2742,2767,2740,2744,2368
2021-12-09T21:00:00+08:00,2731,2731,2699,2715,512
2021-12-09T21:30:00+08:00,2715,2722,2710,2718,199
2021-12-09T22:00:00+08:00,2716,2725,2714,2725,99
2021-12-09T22:30:00+08:00,2723,2741,2710,2718,417
2021-12-09T23:00:00+08:00,2717,2727,2714,2727,141
2021-12-10T10:30:00+08:00,2765,2780,2749,2762,2940
2021-12-10T11:00:00+08:00,2760,2810,2760,2805,1840
2021-12-10T11:30:00+08:00,2805,2808,2791,2794,752
2021-12-10T12:00:00+08:00,2795,2795,2737,2740,1644
2021-12-10T14:30:00+08:00,2699,2730,2693,2709,2921
2021-12-10T15:00:00+08:00,2708,2756,2706,2755,1670
2021-12-10T15:30:00+08:00,2754,2792,2752,2770,1898
2021-12-10T16:00:00+08:00,2769,2782,2752,2756,1246
2021-12-10T16:30:00+08:00,2757,2789,2756,2761,1173
2021-12-10T17:00:00+08:00,2760,2763,2736,2737,1299
2021-12-10T17:30:00+08:00,2737,2776,2734,2768,1954
2021-12-13T10:30:00+08:00,2692,2737,2688,2724,3683
2021-12-13T11:00:00+08:00,2723,2764,2711,2748,2373
2021-12-13T11:30:00+08:00,2748,2782,2748,2777,1786
2021-12-13T12:00:00+08:00,2779,2806,2777,2797,1601
2021-12-13T14:30:00+08:00,2755,2778,2741,2766,2285
2021-12-13T15:00:00+08:00,2766,2787,2761,2766,1175
2021-12-13T15:30:00+08:00,2766,2773,2730,2733,1640
2021-12-13T16:00:00+08:00,2732,2760,2732,2746,1178
2021-12-13T16:30:00+08:00,2745,2803,2744,2803,1278
2021-12-13T17:00:00+08:00,2803,2811,2779,2784,1827
2021-12-13T17:30:00+08:00,2784,2793,2752,2752,1788
2021-12-13T21:00:00+08:00,2726,2769,2724,2758,380
2021-12-13T21:30:00+08:00,2756,2784,2746,2773,563
2021-12-13T22:00:00+08:00,2772,2778,2749,2752,171
2021-12-13T22:30:00+08:00,2756,2760,2742,2753,242
